abandon oneself to something	to yield to the comforts or delights of something	The children ABANDONED themselves TO the delights of the warm summer day.
accustom somebody to something/somebody	to get someone used to someone or something	I think we can accustom Fred to the new rules without difficulty.
accustom somebody to something/somebody	used to or in the habit of doing something (be ~; become ~; grow ~)	The children are accustomed to eating late in the evening.
ace in(to something)	to be lucky in getting admitted to something	I aced into the history class at the last minute.
ace out (of something)	to be fortunate or lucky	Freddy aced out at the dentist's office with only one cavity.
ace out (of something)	to get out of something through luck; to evade or avoid something narrowly	I just aced out of having to take the math test!
ace somebody out	to maneuver someone out; to win out over someone	Martha aced out Rebecca to win the first place trophy.
ache from something	to feel a continuous dull pain	Her eyes ached from lack of sleep. I'm aching all over. It makes my heart ache (= it makes me sad) to see her suffer.
ache to do something	to have a strong desire for somebody/something or to do something	He ached to see her.
ache for something/somebody; to hurt for something/somebody	to desire someone or something very much (so much that it "hurts")	My partner's been away for a fortnight. I am ACHING FOR her. Jim ached for the sight of Mary, whom he loved deeply.
ache for something/somebody; to hurt for something/somebody	to feel desire or regret about someone or something	I ache for home, the smell of bread baking, rain hitting the porch roof - even the smell of the hen house. We ache for the victims of war who have lost family, friends, and their homes.
acknowledge something/somebody as something	to agree or announce publicly that a person holds a particular office or station, or that a person has particular qualities	She found it difficult to acknowledge herself as a failure.
acknowledge something/somebody as something	to agree or announce publicly that something is as previously stated	The president acknowledged the statement as the truth.
acknowledge something/somebody to be, have, etc. something	to accept that somebody/something has a particular authority or status	He is widely acknowledged to be the best player in the world. Bill said that the car was useless, and the mechanic acknowledged him to be right.
acquaint somebody with something; to be acquainted with something/somebody	familiar with something; able to understand or recognize something (be ~; become ~; get ~)	Tom is fully acquainted with the way we do things.
acquaint somebody with something; to be acquainted with something/somebody	having been introduced to someone (be ~; become ~; get ~)	We are only acquainted with each other. We are certainly not what you would call close friends.
acquaint somebody with something; to be acquainted with something/somebody	to introduce someone to an unfamiliar thing; to become familiar with something; to get to know something; to tell someone the facts (about someone or something)	It took a month for the new attorney to acquaint herself with the facts in the case.
acquiesce to something/somebody	to accept something without arguing, even if you do not really agree with it; to give in to someone or someone's wishes; to agree, perhaps reluctantly, to someone's ideas or requests	We are willing to acquiesce to your demands. Senior government figures must have acquiesced in the cover-up. She explained her plan and reluctantly he acquiesced.
acquit somebody (of something)	to decide and state officially in court that somebody is not guilty of a crime; to establish someone's innocence of a criminal charge or the blame for some wrongdoing	The jury acquitted him of murder. Both defendants were acquitted. She was acquitted on all charges. He was acquitted on the grounds of insufficient evidence. The investigator acquitted Wally of the charges.
act (up)on something	to perform on something, usually the stage (in a theater)	Ken has never acted on the stage or in front of a camera.
act (up)on something	to take action because of some special information	The police refused to act upon his complaint because he was an ex-convict.
act (up)on something	to take action on a particular problem (upon is more formal and less commonly used than on)	I will act on this immediately.
act (up)on something	to have an effect on (illness, a part of the body, etc.)	Even though placebos don't act on the illness, they seem to have an effect in about 1 out of 3 patients.
act (up)on something	to regulate one's behaviour in accordance with (advice, information, etc.)	The military planned to act on the information they received. The police were ACTING ON a tip from an informer and caught the gang red-handed.
act out	to behave badly (usually used to describe young people)	Your son has been acting out in the classroom, and his teacher feels that professional intervention is desirable.
act out	to express an emotion in someone's behaviour	Their anger is ACTED OUT in their antisocial behaviour.
act out	to perform something with actions and gestures	They ACTED OUT the story on stage.
act out	to react negatively to something	Teenagers often act out to express their feelings.
act something out	to convert one's bad feelings into action rather than words	Don't act your aggressions out on me! She acted out her aggression.
act something out	to demonstrate or communicate something through gestures or action rather than words	Act your request out, if you can't say it. She had a sore throat and had to act out her request.
act something out	to perform in real life a role that one has imagined in a fantasy	When I was onstage, I was really acting an old fantasy out. I acted out an old fantasy onstage.
act up	to become active (usually used to refer to a medical condition)	Her allergies acted up when she went hiking in the woods.
act up	to behave badly (usually used to refer to children)	Sometimes kids act up because they just want attention.
act up	to behave badly or strangely	My computer began acting up and I lost a whole day's work. My computer's ACTING UP. I think I might have a virus. Facebook is acting up again.
adapt something for something	to change or alter something for use with something else	Has this furnace been adapted for natural gas?
adapt something from something	to derive something from something else; to create by modifying something else	I adapted my new musical from a novel.
adapt something to something	to convert something to fit or work with something else	We converted our furnace to natural gas.
adapt something/somebody to something	to cause someone or something to change, adjust to, or get used to something else	Can't you adapt yourself to my way of doing things?
adapt to something	to adapt or get used to someone or something	Please try to adapt to our routine. We have adapted to living in the U.S.
add something in	to include something with something else	Remember to add in the cost of drinks.
add something on (to something)	to include or attach something extra	A service charge of 15% was added on to the bill.
add something on (to something)	to include in a calculation	You have to ADD the VAT ON to the price they give.
add something to something	to increase something in size, number, amount, etc.	The bad weather only added to our difficulties. The house has been added to (= new rooms, etc. have been built on to it) from time to time.
add something to something	to increase the intensity or amount of something by giving more (of something) to it	You added too much sugar to my coffee.
add something in(to) something	to introduce something into something else	Now, add the eggs into the mixture. Add in some more eggs.
add something together	to sum or total two or more things	Add these two together and tell me what you get.
add something up	to sum or total a set of figures	Please add these figures up again. I didn't add up these figures!
add up	to make sense; seem reasonable; be a satisfactory explanantion for something (usually used with not)	She explained why the work wasn't ready, but her story doesn't ADD UP.
add up	to increase in expense	With five kids in the family, our medical bills really add up.
add up	to make a mathematical total; to equal a total	We ADDED UP the bill to check it was correct. These figures don't add up to the right total!
add up to something	to have a certain result	Trains delays are getting worse and with the high fares, it all ADDS UP TO misery for the commuters. The details don't add up to a complete picture of what caused the explosion.
add up to something	To equal an amount	Our monthly expenses added up to $500. Your purchases add up to $205.32.
address something to somebody	to say something directly to a specific person or group of persons	George addressed his remarks to everyone.
address oneself to something/somebody	to speak directly to a particular person, rather than someone else	I did not address myself to you!
address oneself to something/somebody	to turn one's complete attention to something, such as a problem or an issue (See also address something to someone)	Please address yourself to these current, pressing problems.
address somebody as	to talk to or write to a person, using a particular title	They addressed Abraham Lincoln as "Mr. President."
address somebody as	to treat a person you are talking with in a particular manner	You should address him as your equal.
address something to somebody	to write someone's name and address on an envelope, package, letter, etc.	Gilbert addressed the envelope to Walter.
adhere to something	to behave in a way demanded by an idea or rule	Housing groups that do not adhere to the new fire regulations may lose government money. He followed no specific religion, but adhered to the basic beliefs of Christianity.
adhere to something	to follow or "stick to" a particular course of action, plan, or set of beliefs	If you don't adhere to the proper routine, you will confuse the other workers. For ten months he adhered to a strict no-fat low-salt diet. She adheres to teaching methods she learned over 30 years ago. Staff should adhere strictly to the safety guidelines. The diet will work if it is adhered to.
adhere to something	to stick firmly to something	The stamp won't adhere to the envelope. Once in the bloodstream, the bacteria adhere to the surface of the red cells. Clean the surface first, or the paint will not adhere. There was oil adhering to the bird's feathers.
adjourn for	a time to bring a meeting to a temporary close so the participants can take part in some other activity	We must adjourn for the day.
adjourn to somewhere	to bring a meeting to a temporary close so the participants can move to another place (where the meeting will be started again)	We adjourned to the sitting room.
adjourn to somewhere	to go to another place, especially in order to relax	I suggest we adjourn to the bar for a drink.
adjust oneself to something/somebody	to make changes in one's opinion or attitude toward someone or something, such as a change in one's life or environment	Can't you adjust yourself to your new office? I adjusted to living in the U.S.
adjust something to something	to make something fit something else; to alter something to make it suitable for something else	 The builder adjusted the plans for the new house to the requirements of the fire marshal. Adjust your language to the age of your audience.
administer something to somebody	to present or apply something to a person or an animal	The vet administered the drug to the cow.
administer something to somebody	to give or to provide something, especially in a formal way	A taxi driver administered first aid to the victims.
admire somebody for something	to have a positive feeling toward someone because of something	I really admire you for your courage. The school is widely admired for its excellent teaching. I don't agree with her, but I admire her for sticking to her principles.
admire to do something	to want to do something, to be happy to do something	He asked her to the dance. She said she would admire to go with him.
admit somebody (in)to somewhere	to allow someone to enter some place	They refused to admit us into the theater.
admit something into something	to allow something to be introduced into something else	You cannot admit this document into the body of evidence!
admit something to somebody	to confess something to someone	Harry admitted his error to his uncle.
admit to something	to acknowledge or confess something; to acknowledge or confess to having done something	Max would not admit to anything.
admonish somebody for something	to warn or scold someone mildly for doing something	The nurse admonished the patient for not eating her dinner. She was admonished for chewing gum in class.
admonish somebody to do something	to strongly advise somebody to do something	A warning voice admonished him not to let this happen.
adopt somebody as something	to choose someone as something	The committee will adopt Jane as its candidate.
adopt something as something	to take on something, such as a policy or principle, as one's own	I will adopt this policy as my own. She was adopted as parliamentary candidate for Wood Green.
adopt something/somebody	to take somebody else's child into your family and become its legal parent(s)	She was forced to have her baby adopted.
adopt something/somebody	to start to use a particular method or to show a particular attitude towards somebody/something	All three teams adopted different approaches to the problem.
adopt something/somebody	to formally accept a suggestion or policy by voting	The council is expected to adopt the new policy at its next meeting.
adopt something/somebody	to choose a new name, a country, a custom, etc. and begin to use it as your own	Early Christians in Europe adopted many of the practices of the older, pagan religions.
adopt something/somebody	to use a particular manner, way of speaking, expression, etc	He adopted an air of indifference.
adore somebody for something	to be in awe of someone for doing something well	Everyone adores Sally for her wonderful sense of humor.
adore somebody for something	to be in awe of someone because of a particular trait or feature	Robert adores Mary for her smiling eyes.
adorn something/somebody with something	to decorate or ornament someone or something with something	They adorned the room with garlands of flowers. The walls were adorned with paintings. The children adorned themselves with flowers.
adulterate something with something	to dilute or taint something with some other substance; to make food or drink less pure by adding another substance to it	They adulterated the wine with some sort of drug. The water supply had been adulterated with chemicals from the soil.
advance (up)on something/somebody	to move toward someone or something (Typically in military maneuvers or in team sports, such as American football; Upon is more formal and less commonly used than on)	They advanced upon the town, firing their rifles and shouting.
advance something to something/somebody (against something)	to make an early payment of a sum of money promised or owed to a person or organization	We advanced the money to Tom against his next month's salary.
advance to(ward) something/somebody	to move forward in the direction of someone or something	The line of people slowly advanced to the door of the theater.
advertise for something/somebody	to advertise one's intention to purchase something or hire a particular type of person	Did you advertise for a new receptionist? We are currently advertising for a new sales manager.
advertise something for something	to make known by public notice that something is to be sold at a particular price	Is this the one that was advertised for a dollar?
advertise something for something	to make known by public notice, such as broadcast or print notice, that something is available for purchase or rent	Was this apartment advertised for rent?
advise against something	to recommend not doing something; to suggest that something not be done	The doctor advised him against carrying heavy loads. Lisa always advises against hasty actions.
advise somebody about something/somebody	to inform someone about someone or something; to counsel someone about someone or something	Bill needs to advise the committee about Karen's request.
advise somebody against something	to encourage or counsel someone not to do something	I advised Bill against quitting his job.
advise somebody of something	to inform someone of specific facts or some other information	I hope you will advise Larry of the details of the proposal.
advise somebody on something/somebody	to provide someone with specific advice about someone or something	Would you please advise me on what kind of computer to buy?
affix something to something/somebody	to sign one's name on something	I affixed my signature to each of the documents.
affix something to something/somebody	to fasten, stick or attach something to someone or something	Please affix these tags to your luggage. The label should be firmly affixed to the package.
afflict somebody with something/somebody	to burden someone with an annoying person	I was foolish enough to afflict myself with my young cousin for the weekend.
afflict somebody with something/somebody	to burden someone with trouble	We were afflicted with all the worry that comes with raising a teenager.
afflict somebody with something/somebody	to cause someone to suffer from a disease or disability	The virus has afflicted everyone in the valley.

(be) afraid of somebody/something	feeling fear; frightened because you think that you might be hurt or suffer	It's all over. There's nothing to be afraid of now. Are you afraid of spiders? After Tom was robbed, he was even afraid of his own shadow.
(be) afraid of somebody/something	feeling fear or anxiety; frightened	I’m afraid of dogs. She tried to think about the future without feeling afraid.

age out (of something)	[for an adult] to grow [mentally or in years] out of certain behavior or out of a group or classification that is based on age (Jargon)	Most of them tend to age out at about 35.
agitate against something/somebody	to stir up active dissatisfaction about someone or something	The students were agitating against the closing of the old cafeteria.
agitate for something	to argue strongly for something you want, especially for changes in a law, in social conditions, etc.; to stir up active support for something	The committee agitated for a change, but nothing was done.
agree (up)on something/somebody	to agree to the choice of someone or something	Let's try to agree upon a date.
agree (with something) (in something)	[for grammatical features] to match or go together with other grammatical features	The subject and the verb agree in number.
agree (with somebody) about/on something	to have the same opinion as somebody; to say that you have the same opinion	He agreed with them about the need for change. I agree with him on that point. We agreed about ending the matter.
agree to something	to consent to something; to allow something to be done; to approve something	If you don't agree to my leaving early, I'll just do it anyway. I wish she would agree to my proposal. We agreed to the solution for the problem. They agreed to leaving earlier.
agree with something/somebody	to hold the same opinion or judgment as someone else	I simply do not agree with you!
agree with something/somebody	[for something] to be acceptable to someone as food (Usually negative, referring to the disagreeable consequences of eating bad food)	Onions do not agree with me.
agree with something/somebody	[for something] to be in accord with something else	Your analysis agrees with mine. He agrees with exercising daily.
agree with something/somebody	[for something] to look good or go well with something else	This dress does not agree with these shoes, does it?
aid and abet somebody	to help someone; to incite someone to do something, possibly something that is wrong (originally a legal phrase)	He was scolded for aiding and abetting the boys who were fighting.
aid somebody in doing something	to help someone do something	He aided her in fixing up the back bedroom.
aid somebody in something	to help someone in some kind of trouble	Will you aid me in this difficulty?
aim at something/somebody	to direct towards a target	The policeman aimed his gun at the hijacker. The magazine is AIMED AT teenagers.
aim for something	to strive toward a particular goal; to direct oneself or one's energies toward something	You should aim for success. Aim at getting this done on time.
aim something at something/somebody	to point or direct something at someone or something	Wally aimed the hose at Sarah and tried to soak her.
aim to do something	to intend to do something	I didn't aim to hurt your feelings, sugar, you know I didn't.
alert (somebody) to something	to something to make someone aware of trouble or potential trouble	The auditors alerted us to some problems with the accounts.
alert (somebody) to something	to be aware of something, especially a problem or danger	We must be alert to the possibility of danger. She was alert to the slightest sound.
alienate somebody (from something/somebody)	to make somebody less friendly or sympathetic; to cause someone to feel negative about someone or something; to make somebody feel that they do not belong in a particular group	His comments have alienated a lot of young voters. The teacher alienated the entire class from the subject of calculus. Very talented children may feel alienated from the others in their class.
alight (up)on something/somebody	to land on something; [for a bird or other flying animal] to come to rest on something (Upon is more formal than on)	A small bird alighted on the branch directly over my head. It alighted upon the branch and began to sing.
alight from something	to get off something; to get down off something	Almost three hundred people alighted from the plane.
align oneself with something/somebody	to bring oneself into agreement with someone or someone's ideas; to associate oneself with someone or someone's cause	She sought to align herself with the older members.
align something (with/to something)	to adjust, straighten, or arrange something in reference to something else	Try to align this piece with the one next to it.
align something (with/to something)	to change something slightly so that it is in the correct relationship to something else	Domestic prices have been aligned with those in world markets.
allocate something (for/to something/somebody)	to give or assign something to someone or something (Between with two, among with three or more); to give something officially to somebody/something for a particular purpose	The committee allocated the surplus cheese to the elderly people in the community. David allocated the money among all the members. He allocated the work between Fred and George. We had to allocate the money between the philanthropy and social committees. A large sum has been allocated for buying new books for the library. They intend to allocate more places to mature students this year. More resources are being allocated to the project.
allot something to something/somebody	to give or assign something to someone or something	We will allot a share of the proceeds to charity. I allotted a small portion of the work to Fred. How much money has been allotted to us?
allow (something) for something/somebody	to include something in a plan or calculation	You should ALLOW FOR delays when planning a journey. You have to allow for unexpected expenses in your budget.
allow (something) for something/somebody	to take into consideration; include in a calculation	You'd better leave early to allow for heavy traffic.
allow (something) for something/somebody	if something is given full play, it is used or developed as much as possible	The themes of love and bereavement are given full play in Oliver's new novel. He urges that market forces should be allowed full play in the villages.
allow (something) for something/somebody	to consider particular facts that relate to something	If you own stock, you must allow for the possibility that it will lose value.
allow (something) for something/somebody	to plan on having enough of something (such as food, space, etc.) for someone	Mary is bringing Bill on the picnic, so be sure to allow for him when buying the food. Allow for an extra person when setting the table tonight.
allow (something) for something/somebody	to plan on the possibility of something	Allow for a few rainy days on your vacation. Be sure to allow for future growth when you plant the rosebushes.
allow (something) for something/somebody	to allocate a share or a suitable amount of something, such as time, money, space, etc., for some activity or goal	I allowed only an hour for lunch. They did not allow enough money for their expenditures this month.
allow (something) for something/somebody	to give consideration to circumstances or contingencies	We allowed room for expansion when we designed the building. Allowing for his youth and lack of experience, I forgave him completely for his oversight.
allow somebody up (from something)	to permit someone to arise or get up (Fixed phrase)	He knocked Peter down and would not allow him up from the ground. The doctor won't allow you up!
allow something/somebody in(to) something	to permit someone or something to enter some place	Will they allow you in the restaurant without a tie? They won't allow in too many visitors.
alloy something with something	to combine one molten metal into another molten metal	Is it possible to alloy copper with nickel? The copper has been alloyed with nickel.
alloy something with something	to combine one quality or attribute with another	She alloyed her courage with a helping of wisdom. Her courage has been alloyed with wisdom.
allude to (somebody/something)	to refer to someone or something briefly or indirectly	In his letter, Dick alluded to problems the company was facing, but he never suggested they were going out of business.
allude to (somebody/something)	to refer to someone or something; to make an implication about someone or something	I did not mean to allude to someone you disliked so much. I alluded to the accident only once.
allude to (somebody/something)	to mention something in an indirect way	The problem had been alluded to briefly in earlier discussions.
ally (oneself) (with somebody) (against something/somebody)	to unite or affiliate with someone in opposition to someone or something	Sally allied herself with John against the committee. We allied with the older ones against the younger ones. They allied themselves against the attackers. She sought to ally herself to the older members. Jane allied herself to the teacher almost immediately.
alternate between somebody and somebody; alternate between something and something	to choose or change between two persons or things alternately	The job will alternate between Gil and Ed. The maid will alternate between the first floor and the second floor.
alternate with something/somebody	[for someone] to serve as a substitute for someone	I alternated with Fred as the lead in the school play. They asked Harry to alternate with Ron on the team.
alternate with something/somebody	[for something] to appear repetitively and regularly in a sequence with something else (For instance, A alternates with B in the sequence ABABAB)	In this design the straight lines alternate with the circles. The red dots alternate with the blue ones.
amalgamate something (into/with something)	to unite something with something else; to put two or more things together so that they form one	We will amalgamate this company with another firm. How long has our local been amalgamated with the national union? This information will be amalgamated with information obtained earlier.
amalgamate something (into/with something)	to join with something; to merge with something	Our group decided to amalgamate with another group. The groups did not amalgamate after all.
amble along; amble down/over to something	to walk along casually at a slow relaxed speed somewhere	They ambled along the path. I was just ambling along, minding my own business, when I tripped. We ambled down to the beach. They ambled along for miles. Mark ambled over to the girls.
amount (up) to something	[for a sum of money] to increase [to a large amount]	Is that everything you want to buy? That amounts to twenty dollars. These charges amount up to a lot.
amount to something	to be the same as something else	A decrease in student aid amounts to an increase in tuition fees. She thought he was wrong to take what amounts to a stand against greater freedom.
amount to something	to present some revealing information about someone or something	What you have just told me throws a lot of light on George and his motivation. Will you please throw some light on the problem?
amount to something	[for someone or something] to become worthwhile or successful	I hope Charles amounts to something some day. I doubt that this business will ever amount to anything really profitable.
amount to something	[for something] to be the equivalent of something	Why, doing this amounts to cheating! Your comments amount to treason.
amount to something	to be nearly the same thing, after you consider it	She wanted him to suffer and she wanted to punish him, which amounts to the same thing.
amount to something	to be the same [as something]	Borrowing can be the same as stealing. If the owner does not know what you have borrowed, it amounts to the same thing. With cars - whether they're red or blue - it comes to the same thing.
amuse somebody with something	to entertain or interest someone with something	Try to amuse the child with this little toy. She was able to amuse herself with the puzzle for a while.
angle for something	to try to get something indirectly, by hinting or suggesting	He's been ANGLING FOR an invitation, but I don't want him to come.
angle for something	to fish for something, as with a fishhook and line	Fred was angling for a big bass. I am angling for whatever I can catch.
angle for something	to scheme or plan to get something; to "fish" for something	She is just angling for a larger settlement from her former employer. Are you angling for a raise in pay?
angle for something	to try to get or achieve something in an indirect way	He's working as a consultant with several companies that are angling for business in Hong Kong.
angle off (to/toward something)	to turn or move toward something at an angle	The road angles off to the right. The sailboat angled off toward the direction the wind was blowing.
(be) angry with/at somebody (about/for something); (be) angry at/about/over something	having strong feelings about something that you dislike very much or about an unfair situation	Please don't be angry with me. It wasn't my fault. He felt angry at the injustice of the situation. The passengers grew angry about the delay.
annex (something) to something	[for a governmental body of a town or city] to attach a parcel of land onto an existing parcel of land through legal proceedings	The village annexed some adjacent land to itself. The adjoining lot was annexed to the site to allow for a bigger building.
annex (something) to something	[for the owner of a parcel of land] to have land attached to an adjacent town or city	Our community doesn't want to annex to Adamsville. The town voted to annex to the neighboring city of Smithton.
announce something for something/somebody	to declare one's political support for someone or something	The senator announced for the Supreme Court nominee. Our club announced for the incumbent candidate.
announce something to somebody	to tell something publicly to someone	The president announced his nominee for attorney general to the media. When was the news announced to the public?
anoint somebody/something (with something)	to put oil or water on somebody's head as part of a religious ceremony	The priest anointed her with oil. They anointed the king with oil and praised him greatly. He anointed himself with a menthol rub that was meant to help his cold symptoms.
answer back (to somebody)	to reply rudely to someone in authority	Don't answer back your mother! Her mother was shocked when she started ANSWERING her BACK and refusing to help.
answer back (to somebody)	to talk back (to someone); to argue (with someone)	I wish you wouldn't answer back to me that way. Please don't answer me back like that!
answer for something/somebody	to be held responsible for a problem	The government should be made to ANSWER FOR their failure to sort out the problem.
answer for something/somebody	to speak for another person; speak on behalf of someone or from knowing them	I can ANSWER FOR my partner because I know her position on this issue. I can't answer for Chuck, but I do have my own opinion. I will answer for my friend in his absence.
answer for something/somebody	to vouch for someone; to tell of the goodness of someone's character	Mr. Jones, who had known the girl all her life, answered for her. He knew she was innocent. I will answer for Ted. He could not hurt a flea.
answer for something/somebody	to admit responsibility for causing a problem or situation	If you mix art and politics critics get upset and you have to answer for it. He may not go to jail, but someday he is going to have to answer for what he did before God.
answer for something/somebody	to explain or justify the actions of someone or some act; to take responsibility or blame for someone or something	You will have to answer for your children's bad behavior. I will answer only for my own misdeeds.
